arquivo,linha_baseline,termos,classificacao,tratamento,trecho_original
README.md,8,piloto,documentação corrente desatualizada,Atualizada a seção Estado do estudo com recibo e confirmação de 15/09/2026.,"O protocolo atual é o **2.1.0**. A amostra piloto reúne Ultralytics, PyMC Marketing e"
README.md,10,A seleção definitiva,documentação corrente desatualizada,"Revisão dos casos, taxonomia e interpretação confirmadas no estado atual.","A seleção definitiva, a validação da taxonomia e a interpretação qualitativa ainda"
README.md,12,aguarda avaliação,documentação corrente desatualizada,Atualizada a seção Estado do estudo com recibo e confirmação de 15/09/2026.,"humana (91,1%); a 1.2.0 aguarda avaliação, conforme o [dossiê DM-027](docs/DM027_TAXONOMIA_1_2_0.md)."
README.md,172,scientific_result_accepted,erro factual,Corrigida descrição corrente: G14/G15 implementados; aceite agregado no recibo final.,`scientific_result_accepted` permanece falso e a saída permanece 1 enquanto G14
README.md,184,pendentes,histórico legítimo,"Preservado; exemplo operacional ou estado de consultas, sem pendência científica.","bloqueio persistir, a execução preserva os resultados e registra os itens pendentes"
RELATORIO_FECHAMENTO_DM027.md,21,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"Concordância: **173/180 (96.11%)**. Limiar atingido: **sim**. Aprovação científica: **não**, pois a revisão é `draft_pending_confirmation`. O mascaramento removeu as predições individuais; isso não transforma o julgamento de referência em avaliação humana independente."
RELATORIO_FECHAMENTO_DM027.md,86,scientific_result_accepted,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"**Pacote candidato científico:** não emitido antes da confirmação; não há checksum a atribuir. **Recibo final de aceite:** será escrito em um novo diretório `fechamento_confirmado_<UTC>/recibo_final.json` pelo comando abaixo. O recibo de pré-confirmação existente registra `scientific_result_accepted: false`, sem substituir o futuro recibo de aceite."
RELATORIO_FECHAMENTO_DM027.md,102,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `alinhamento_academico.json` | 1 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,103,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `casos_revisados.json` | 3 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,104,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `claims_catalog.json` | 101 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,105,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `codificacao_revisada.csv` | 45 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,106,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `manuscript_review.json` | 1 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,107,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `taxonomia_revisada.csv` | 180 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,108,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,| `temas_emergentes.json` | 2 | `draft_pending_confirmation` |
RELATORIO_FECHAMENTO_DM027.md,110,será a fonte canônica,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"Os CSVs mantêm autoria original e recebem a confirmação pelo sidecar. Os JSONs da cópia confirmada recebem responsável e data real, preservando `drafted_by`. As cópias de trabalho anteriores e os documentos originais de redação permanecem preservados. A cópia confirmada será a fonte canônica de revisão das próximas execuções."
RELATORIO_FECHAMENTO_DM027.md,153,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"Os estados da revisão usam terminologia neutra: `draft_pending_confirmation`, `review_requires_confirmation` e `human_confirmed`. Identificadores `draft:` apontam para registros preliminares, não para identidades pessoais. A atualização editorial não alterou rótulos, amostras, métricas ou critérios de aceite. Os hashes foram recalculados e as verificações repetidas sobre a nova versão."
config/amostra_final.yaml,7,pilot,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",status: pilot
config/amostra_final.yaml,12,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",alinhamento acadêmico pendentes de registro pelo pesquisador
config/amostra_final.yaml,13,academic_alignment_status; pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",academic_alignment_status: pending
config/amostra_final.yaml,14,human_taxonomy_validation_status; pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",human_taxonomy_validation_status: pending
config/amostra_final.yaml,24,Piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.","selection_rationale: 'Piloto: callbacks concentrados de parâmetros, métricas e artefatos.'"
config/amostra_final.yaml,56,pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",pending_reason: Cadeia limpa e critérios técnicos conferidos. Faltam decisão humana
config/amostra_final.yaml,72,pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",human_decision_status: pending
config/amostra_final.yaml,74,piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",technical_revision_reason: Anomalib substitui Composer na proposta piloto por elegibilidade;
config/amostra_final.yaml,75,pendentes,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",decisão humana e alinhamento acadêmico pendentes.
config/verification.yaml,67,pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",package_status: candidate_pending_G14_G15
docs/ALINHAMENTO_DM027.md,3,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,Identificação da revisão: draft:dm027. Modalidade: draft_pending_confirmation.
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,8,Rascunhos de revisão completos,ambígua,Introdução distingue confirmação concluída de registros do primeiro incremento.,`RELATORIO_FECHAMENTO_DM027.md`. Rascunhos de revisão completos continuam sujeitos
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,48,pendente,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,casos. O alinhamento também está pendente nesses arquivos. Isso descreve os bytes
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,83,scientific_result_accepted,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,"A importação não aprova o estudo: `scientific_result_accepted` permanece `false`,"
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,117,ainda precisa,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,não são gabaritos para ajustar a coleta. O pesquisador ainda precisa delimitar e
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,169,ainda precisa,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,tabelas que ainda precisam ser confrontadas com Git: podem detectar divergência
docs/CRITERIOS_ACEITE_E_EVIDENCIAS.md,177,pendentes,histórico legítimo,Histórico preservado sob cabeçalho temporal e link para fechamento aceito.,continuam pendentes. Os recibos empíricos preservam as reprovações e os critérios
docs/DECISOES_METODOLOGICAS.md,7,pendente,documentação corrente desatualizada,Corrigido estado atual; pilot explicitado como snapshot histórico.,ainda pendente de avaliação; a 1.1.0 foi reprovada na validação humana.
docs/DECISOES_METODOLOGICAS.md,81,pilot,documentação corrente desatualizada,Corrigido estado atual; pilot explicitado como snapshot histórico.,reserva. A amostra permanece `pilot` até a decisão do pesquisador.
docs/DECISOES_METODOLOGICAS.md,149,piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.","O plano de análise 1.0.0 foi registrado em 07/09/2026, após o piloto exploratório do"
docs/DECISOES_METODOLOGICAS.md,151,piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",do piloto. A configuração normativa fica no bloco `analysis` do protocolo.
docs/DECISOES_METODOLOGICAS.md,228,piloto,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",MLflow e uso combinado. O piloto de 05/09 adotou o recorte MLflow no protocolo 2.0.0.
docs/DECISOES_METODOLOGICAS.md,261,pending,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.","Novos julgamentos de referência recebem o instante real de produção, autoria `draft:dm027` e modalidade `draft_pending_confirmation`. A confirmação registra outro instante e outro agente; não substitui nem retrodata a produção. Metadados por registro ficam em sidecars para preservar os campos imutáveis e as tabelas originais. Ausência de um julgamento de papel histórico não é ausência de data: um parecer novo sobre esse papel conserva identificação da revisão preliminar."
docs/DICIONARIO_DADOS.md,318,pending; pilot,histórico legítimo,"Preservado; identificador, contrato, estado condicional ou fixture, sem declaração de estado corrente.","| `status` | Estado da proposta: `pending`, `pilot` ou `final`; não certifica o aceite. |"
docs/DICIONARIO_DADOS.md,319,piloto,histórico legítimo,"Preservado; identificador, contrato, estado condicional ou fixture, sem declaração de estado corrente.","| `selected_at_utc` | Data de preparação da seleção registrada, que pode ainda ser piloto. |"
docs/DICIONARIO_DADOS.md,325,academic_alignment_status; human_taxonomy_validation_status,histórico legítimo,"Preservado; identificador, contrato, estado condicional ou fixture, sem declaração de estado corrente.","| `academic_alignment_status`, `human_taxonomy_validation_status` | Situação das revisões declaradas. |"
docs/DICIONARIO_DADOS.md,326,pending,histórico legítimo,"Preservado; identificador, contrato, estado condicional ou fixture, sem declaração de estado corrente.","| `pending_reason`, `decision_responsibility` | Pendência e responsabilidade pelo registro técnico. |"
docs/DICIONARIO_DADOS.md,419,scientific_result_accepted,histórico legítimo,"Preservado; identificador, contrato, estado condicional ou fixture, sem declaração de estado corrente.","`study_acceptance.json` reúne `scientific_result_accepted`, `blocking_reasons` e os"
docs/DM027_TAXONOMIA_1_2_0.md,5,O fechamento e a autoria,ambígua,Cabeçalho passa a apontar para o fechamento de 15/09; histórico preservado.,"A cadeia registrada está identificada em [rodada de referência](evidencias/rodada_referencia_1_2_0.md). Mineração, métricas, índice, seleção e relatório já foram executados. As passagens abaixo sobre prévia e registro futuro são históricas. O fechamento e a autoria das novas análises estão em `RELATORIO_FECHAMENTO_DM027.md`."
docs/G14_RESTAURACAO_ISOLADA.md,78,scientific_result_accepted,histórico legítimo,"Preservado; registro da rodada ou etapa identificada, sem representar o aceite final.",`scientific_result_accepted` somente pode ser verdadeiro quando a verificação original
